,id,Nome,Età,Presenze,Ruolo Anno Successivo,Quotazione Iniziale Anno Successivo,Quotazione Iniziale Mantra Anno Successivo,Fantavoto Media,Fantavoto Media Reale Anno Successivo,Fantavoto Media Predetta Anno Successivo,Differenza Predetta Fantavoto Media Anno Successivo,Differenza Reale Fantavoto Media Anno Successivo,Errore Predizione
4687,2818,Bennacer,23.0,31.0,C,10.0,10.0,6.354838709677419,6.464285714285714,6.1569449566604835,-0.19789375301693557,0.10944700460829537,-0.30734075762523094
4699,2825,Bourabia,29.0,8.0,C,4.0,4.0,6.375,6.0,5.944654450231737,-0.4303455497682629,-0.375,-0.05534554976826289
4731,2839,Sottil,22.0,24.0,C,8.0,8.0,6.375,6.055555555555555,6.25188253249686,-0.1231174675031399,-0.31944444444444464,0.19632697694130474
4751,2848,Frattesi,21.0,36.0,C,16.0,16.0,6.361111111111111,6.791666666666667,6.463265598075733,0.10215448696462204,0.43055555555555625,-0.3284010685909342
4767,2855,Vieira,24.0,0.0,C,4.0,4.0,,5.611111111111111,5.891202033700329,,,0.28009092258921786
4775,2857,Traore' Hj.,21.0,31.0,C,0.0,0.0,6.838709677419355,6.0,6.283643088642592,-0.5550665887767634,-0.838709677419355,0.2836430886425916
4828,4143,Ndombele,24.0,0.0,C,11.0,11.0,,5.95,6.143404222466019,,,0.19340422246601907
4850,4220,Zambo Anguissa,25.0,25.0,C,11.0,12.0,6.2,6.597222222222222,6.1423283707090475,-0.05767162929095271,0.39722222222222214,-0.45489385151317485
4868,4260,Winks,25.0,0.0,C,6.0,7.0,,5.725,5.939427395910595,,,0.21442739591059556
4884,4287,Lobotka,26.0,23.0,C,11.0,12.0,6.3478260869565215,6.342105263157895,6.131546772907273,-0.21627931404924894,-0.005720823798626817,-0.21055849025062212
4960,4342,Duda,26.0,0.0,C,9.0,8.0,,5.7,6.153128235294845,,,0.4531282352948445
4972,4349,Nicolussi Caviglia,24.0,0.0,C,3.0,3.0,,5.916666666666667,5.945580593161585,,,0.028913926494918307
4998,4364,Gaetano,21.0,2.0,C,4.0,4.0,6.0,6.4375,6.135977447681047,0.13597744768104736,0.4375,-0.30152255231895264
5034,4376,Zurkowski,23.0,35.0,C,8.0,8.0,6.6571428571428575,5.791666666666667,6.256926124017305,-0.4002167331255526,-0.8654761904761905,0.4652594573506379
5039,4377,Castrovilli,24.0,23.0,C,9.0,9.0,6.108695652173913,6.433333333333334,6.10046600233666,-0.008229649837253383,0.3246376811594205,-0.33286733099667387
5066,4393,Schouten,24.0,17.0,C,8.0,9.0,6.088235294117647,5.924242424242424,5.950060451411597,-0.13817484270605007,-0.16399286987522288,0.025818027169172808
5101,4408,Esposito Sa,20.0,0.0,C,5.0,6.0,,5.8,6.003254080190046,,,0.20325408019004598
5155,4427,Malinovskyi,28.0,30.0,C,0.0,0.0,6.85,6.266666666666667,6.327316056205999,-0.522683943794001,-0.583333333333333,0.06064938953933208
5198,4449,Tonali,21.0,36.0,C,16.0,16.0,6.694444444444445,6.470588235294118,6.395360295828237,-0.2990841486162079,-0.2238562091503269,-0.07522793946588102
5215,4459,Rovella,19.0,21.0,C,3.0,3.0,6.119047619047619,6.125,5.991141119574179,-0.1279064994734398,0.005952380952381375,-0.13385888042582117
5226,4465,Fagioli,20.0,0.0,C,3.0,3.0,,6.519230769230769,6.0016694346420545,,,-0.5175613345887147
5244,4479,Elmas,21.0,37.0,C,11.0,11.0,6.405405405405405,6.652777777777778,6.329349378502355,-0.07605602690304991,0.24737237237237242,-0.32342839927542233
5253,4486,Strefezza,24.0,0.0,C,13.0,13.0,,6.942857142857143,6.14566817295915,,,-0.7971889698979933
5277,4498,Henderson L.,25.0,38.0,C,8.0,8.0,6.184210526315789,5.7,6.118339530608588,-0.06587099570720145,-0.4842105263157892,0.41833953060858775
5289,4501,Obiang,24.0,0.0,C,2.0,2.0,,5.852941176470588,5.93930743082091,,,0.08636625435032208
5317,4515,Agudelo,22.0,23.0,C,9.0,8.0,6.260869565217392,5.882352941176471,6.2061609626871626,-0.05470860253022902,-0.37851662404092057,0.32380802151069155
5343,4522,Amrabat,24.0,23.0,C,8.0,8.0,6.043478260869565,5.844827586206897,5.929618694258402,-0.11385956661116303,-0.1986506746626686,0.08479110805150558
5365,4658,Ikone,23.0,17.0,C,14.0,14.0,6.088235294117647,6.393939393939394,6.352697330266303,0.2644620361486565,0.30570409982174684,-0.04124206367309036
5374,4681,Lopez M.,23.0,35.0,C,9.0,10.0,6.085714285714285,5.75,6.002025498120307,-0.08368878759397802,-0.3357142857142854,0.2520254981203074
5379,4701,Cuisance,21.0,13.0,C,4.0,4.0,5.615384615384615,5.666666666666667,5.905060384993557,0.2896757696089418,0.05128205128205199,0.23839371832688983
5381,4711,Kostic,28.0,0.0,C,15.0,18.0,,6.581081081081081,6.464238918738166,,,-0.11684216234291434
5389,4725,Demme,29.0,19.0,C,4.0,4.0,6.0,5.928571428571429,5.93170697667322,-0.06829302332678022,-0.07142857142857117,0.0031355481017909526
5404,4825,Diaz B.,21.0,31.0,C,11.0,11.0,6.387096774193548,6.833333333333333,6.344442470520769,-0.042654303672779115,0.446236559139785,-0.4888908628125641
5421,4869,Dominguez,23.0,28.0,C,8.0,9.0,6.017857142857143,6.451612903225806,5.976542695199176,-0.041314447657967435,0.4337557603686628,-0.47507020802663025
5463,4890,Tameze,27.0,38.0,C,14.0,14.0,6.552631578947368,5.77027027027027,6.272876357774665,-0.279755221172703,-0.782361308677098,0.502606087504395
5473,4892,Saelemaekers,22.0,36.0,C,8.0,8.0,6.152777777777778,6.166666666666667,6.136230244506035,-0.01654753327174241,0.013888888888889284,-0.030436422160631693
5485,4896,Maldini,19.0,8.0,C,2.0,2.0,6.4375,6.361111111111111,6.00396635732159,-0.43353364267840977,-0.07638888888888928,-0.3571447537895205
5508,4921,Askildsen,20.0,19.0,C,3.0,3.0,5.605263157894737,5.714285714285714,5.814242312273653,0.20897915437891612,0.10902255639097724,0.09995659798793888
5597,4965,Marin,25.0,36.0,C,7.0,8.0,5.958333333333333,6.181818181818182,6.006467130897038,0.04813379756370484,0.22348484848484862,-0.17535105092114378
5604,4970,Messias,30.0,26.0,C,14.0,14.0,6.615384615384615,6.62,6.618602711469086,0.0032180960844714335,0.004615384615385132,-0.0013972885309136984
5608,4973,Mckennie,22.0,21.0,C,0.0,0.0,6.571428571428571,5.966666666666667,6.081504461361725,-0.48992411006684655,-0.6047619047619044,0.11483779469505784
5612,4975,Escalante,28.0,1.0,C,0.0,0.0,6.0,5.5,6.009565587296128,0.009565587296128442,-0.5,0.5095655872961284
5648,4988,Maggiore,23.0,35.0,C,10.0,10.0,6.2,5.75,6.127545245194378,-0.07245475480562202,-0.4500000000000002,0.37754524519437815
5655,4992,Gyasi,27.0,36.0,C,10.0,10.0,6.083333333333333,5.8,6.281451083515361,0.19811775018202837,-0.2833333333333332,0.4814510835153616
5677,5001,Miranchuk,25.0,19.0,C,8.0,8.0,6.421052631578948,6.810344827586207,6.301327603286502,-0.11972502829244558,0.3892921960072595,-0.5090172242997051
5692,5007,Ilic,20.0,32.0,C,13.0,13.0,6.078125,6.34,6.130510981369907,0.05238598136990724,0.26187499999999986,-0.20948901863009262
5714,5063,Radonjic,25.0,0.0,C,7.0,7.0,,6.482142857142857,5.980463446078664,,,-0.5016794110641927
5726,5119,Samardzic,19.0,22.0,C,8.0,8.0,6.431818181818182,6.513513513513513,6.162582736398235,-0.2692354454199464,0.0816953316953315,-0.35093077711527787
5736,5286,Akpa Akpro,28.0,10.0,C,2.0,3.0,5.55,6.0,5.843124564807725,0.29312456480772475,0.4500000000000002,-0.15687543519227543
5740,5287,Arslan,30.0,30.0,C,6.0,6.0,5.966666666666667,5.930555555555555,5.98081441247455,0.01414774580788336,-0.03611111111111143,0.05025885691899479
5756,5298,Pobega,22.0,33.0,C,9.0,9.0,6.46969696969697,6.184210526315789,6.15368194052257,-0.31601502917439994,-0.28548644338118034,-0.030528585793219598
5805,5329,Makengo,23.0,33.0,C,0.0,0.0,5.984848484848484,6.0,5.969800876215074,-0.01504760863341037,0.015151515151515582,-0.030199123784925952
5881,5397,Kovalenko,25.0,26.0,C,7.0,7.0,6.038461538461538,5.916666666666667,5.986997725234132,-0.05146381322740634,-0.12179487179487136,0.07033105856746502
5910,5422,Zalewski,19.0,16.0,C,7.0,7.0,5.84375,6.151515151515151,6.025993176204346,0.18224317620434594,0.3077651515151514,-0.12552197531080544
5914,5423,Bove,19.0,11.0,C,1.0,1.0,6.363636363636363,6.113636363636363,6.073893099179428,-0.2897432644569351,-0.25,-0.0397432644569351
